ITL699-A,Goofys verkehrte Welt
ITL669-C,Micky und die fliegende Kiste
ITL980-B,Die gestohlene Insel
S72256,Goofy und der Pferdesattel
ITL646-B,Der realistische Film
S76029,Die Einladung zum Abendessen
ITL731-A,Das singende Totem
ITL607-A,Der Sturm auf die Nummer eins
ITL708-C,Das Anti-Druckfraß-Spray
ZD59-04-26,Des Widerspenstigen Zähmung
ITL657-A,Der Tag des Onkels
S71272,Der Schreiber an der Wand...
ITL609-B,Donald auf Schatzsuche
ITL580-B,Der Schnell-Imbiß
ITL440-B,Donald und der Maibaum
ITL642-A,Nichts als blauer Dunst
YD69-01-07,Typisch weiblich!
ITL592-A,Der dreizehnte Paladin
WDAD49-02,Der Trick mit dem Trickfilm
ITL673-A,Der Siegerkuß
ITL677-A,Die phönizische Gesetzestafel
S71254,Ideen muß man haben
ITL672-A,Der Krieg der Knöpfe
ITL696-A,Das Überlebens-Training
ITL708-A,Jeder ist seines Glückes Schmied
ITL474-B,Geteiltes Leid ist halbes Leid
ITL656-B,"Trautes Heim, Glück allein"
ITL678-B,"Trau, schau, wem!"
S72183,"Wie du mir, so ich dir"
ITL1314-B,Das Auge des Gesetzes wacht...
ITL749-A,Onkel Dagoberts Reise zum Mond
ITL750-A,Die Papyrusrolle des Dag-Ench-Damun
ITL751-A,Decius Ducatus und die römischen Münzen
ITL753-A,Der König der Arena
ITL754-A,Der Freibeuter der Meere
ITL755-A,Kanonendonner am Mississippi
ITL756-A,Goldrausch in Alaska
WDAD31-04,Eine erfolgreiche Niederlage
ITL733-B,Unter falschem Verdacht
ITL945-A,Eine lohnende Golfpartie
ITL665-A,Das Stimmwunder Carli Caruso
ITL681-A,Micky und der Inkabrunnen
ITL731-B,Operndiebstahl
ITL724-A,Der Marathonlauf
ITL703-A,Die Flugzeugentführung
ITL1019-A,Der geheimnisvolle Mister K.
ITL518-C,Ein wahres Hundeleben
S73044,Das Nacht-Fahrzeug
ITL695-A,Der sprechende Zauberberg
ITL640-B,Die Schule der Weisen
ITL700-A,In die Pfanne gehauen
ITL610-B,Die Suche nach der verlorenen Zeit
ITL695-C,April! April!
ITL725-A,Zurück in die Steinzeit
ITL481-B,Ein Tag wie jeder andere
ITL914-B,Rache ist süß!
ITL716-A,Besser spät als nie
ITL929-B,Die Walrossinsel
ZD45-11-11,Des Guten zuviel
ITL1123-A,"Der Urlaub, der ins Wasser fiel"
ZD63-06-30,Ein Herz für Hunde
ITL646-A,Karnevalsscherze
ITL1035-A,Bergeinsamkeit
ITL1075-B,Ungeahnte Talente
ZD69-01-05,Briefträgerfreuden
